Contract Year,Sample ID,Population,Type,Date collected,Subsp.,Sex,Processed?,Extracted Sample Location,Sample Plate,Backup Sample in Lysis?,Leftover of Original Sample?,Sample Location,,,,,,,,,,,,,
2024/2025,BISO25-001,Etthithun,hair/tissue,13-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Swab - Sample Duplicates Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-002,Etthithun,hair/tissue,13-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-003,Etthithun,hair/tissue,13-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-004,Etthithun,hair/tissue,13-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-005,Etthithun,hair/tissue,13-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-006,Etthithun,hair/tissue,13-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-007,Etthithun,hair/tissue,13-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-008,Etthithun,hair/tissue,13-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-009,Etthithun,hair/tissue,13-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-010,Etthithun,hair/tissue,13-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-011,Hay-Zama,hair/tissue,14-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-012,Hay-Zama,hair/tissue,14-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-013,Hay-Zama,hair/tissue,14-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-014,Hay-Zama,hair/tissue,14-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-015,Hay-Zama,hair/tissue,14-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-016,Wentzel,hair/tissue,15-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-017,Wentzel,hair/tissue,15-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-018,Garden River,hair/tissue,15-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-019,Hay-Zama,hair/tissue,14-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-020,Hay-Zama,hair/tissue,14-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-021,Hay-Zama,hair/tissue,14-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-022,Wentzel,hair/tissue,15-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-023,Wentzel,hair/tissue,15-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-024,Wentzel,hair/tissue,15-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-025,Garden River,hair/tissue,15-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,BISO25-026,Garden River,hair/tissue,15-Mar-25,,F,Y,2024/2025 Contract Box 5,2024/2025 Contract Plate 5,Leftover lysate - Sample Leftover Box 3,Hair and part of biopsy punch,Chest Freezer -Brown Cardboard Box,,,,,,,,,,,,,
2024/2025,25WBNP_DL1,WBNP,hair,28-Apr-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_GR26,WBNP,hair,18-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_BF04,WBNP,hair,29-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_BF02,WBNP,hair,ND,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_NY1,WBNP,hair,25-May-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_GRS33,WBNP,hair,18-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_DL36,WBNP,hair,19-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_LO38,WBNP,hair,20-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_LO1,WBNP,hair,29-Apr-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_LO107,WBNP,hair,29-Apr-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_DL38,WBNP,hair,19-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_DL35,WBNP,hair,19-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_DL37,WBNP,hair,19-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_GR25,WBNP,hair,18-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_DL39,WBNP,hair,20-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_GRS29,WBNP,hair,18-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_DL34,WBNP,hair,19-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_BF24,WBNP,hair,17-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,25WBNP_GRS28,WBNP,hair,18-Mar-25,,,Y,2024/2025 Contract Box 4,2024/2025 Contract Plate 5,N,Hair,Chest freezer - hair and biopsy bin,,,,,,,,,,,,,
2024/2025,124000301155334,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155335,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155337,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155338,OMB,hair,25-Apr,PB,,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155339,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155340,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155341,OMB,hair,25-Apr,PB,,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155343,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155344,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155346,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155347,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155348,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155349,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155350,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155351,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155352,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155354,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155355,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155356,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155357,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155359,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155360,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155361,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155363,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155364,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155365,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155367,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155369,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155370,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155371,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155372,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155373,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155374,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155375,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155376,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155377,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155378,OMB,hair,25-Apr,PB,,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155379,OMB,hair,25-Apr,PB,F,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155381,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155382,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155383,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
2024/2025,124000301155387,OMB,hair,25-Apr,PB,M,TBD,,,,,,,,,,,,,,,,,,
Controls,EIB603,WBNP,DNA,,WB,M,Y,,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB604,WBNP,DNA,,WB,F,Y,,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB606,WBNP,DNA,,WB,F,Y,,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB607,WBNP,DNA,,WB,F,Y,,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB609,WBNP,DNA,,WB,F,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB610,WBNP,DNA,,WB,F,Y,,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB611,WBNP,DNA,,WB,F,Y,,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB623,WBNP,DNA,,WB,M,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB624,WBNP,DNA,,WB,M,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB625,WBNP,DNA,,WB,M,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB626,WBNP,DNA,,WB,M,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB627,WBNP,DNA,,WB,M,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB77,OMB,DNA,,PB,F,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB78,OMB,DNA,,PB,F,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB79,OMB,DNA,,PB,F,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB80,OMB,DNA,,PB,F,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB81,OMB,DNA,,PB,F,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB82,OMB,DNA,,PB,F,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB83,OMB,DNA,,PB,F,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
Controls,EIB84,OMB,DNA,,PB,F,Y,Bison Control Box,Control Sample Plate,,,,,,,,,,,,,,,,
NA,BNP-122-Fe,Banff National Park,Fecal,2022-06-14,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,BNP-125-Fe,Banff National Park,Fecal,2022-06-14,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,BNP-127-Fe,Banff National Park,Fecal,2022-06-14,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,BNP-128-Fe,Banff National Park,Fecal,2022-06-14,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,BNP-129-Fe,Banff National Park,Fecal,2022-06-14,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,BNP-130-Fe,Banff National Park,Fecal,2022-06-14,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,BNP-131-Fe,Banff National Park,Fecal,2022-06-14,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-PB0001-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-PB0002-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-PB0003-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-PB0004-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-PB0005-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-PB0006-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-PB0007-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-PB0008-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINPW136,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW137,,,,,,Thesis Samples - Mikaella,Extract sent to CA for sequencing,,,,,,,,,,,,,,,,,
NA,EINPW138,,,,,,Thesis Samples - Mikaella,Extract sent to CA for sequencing,,,,,,,,,,,,,,,,,
NA,EINPW139,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW140,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW141,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW142,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW143,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW144,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW145,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW146,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW147,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW148,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW149,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINPW150,,,,,,Thesis Samples - Mikaella,EINP Sampling Oct 2024 - Swab DNA  Box,,,,,,,,,,,,,,,,,
NA,EINP192,,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,EINP200,,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,EINP243,,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,EINP249,,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,EINP331,,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,EINP346,,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,EINP-WB0001-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-WB0002-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-WB0003-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-WB0005-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-WB0006-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-WB0007-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-WB0008-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,EINP-WB0009-Fe,Elk Island National Park,Fecal,2022-08-16,,,Thesis Samples - Mikaella,Kyle Lab?,NA,,,,,,,,,,,,,,,,
NA,PANP003,PANP,,,,,Thesis Samples - Mikaella,Kyle Lab?,,,,,,,,,,,,,,,,,
NA,PANP006,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP011,PANP,,,,,Thesis Samples - Mikaella,Kyle Lab?,,,,,,,,,,,,,,,,,
NA,PANP012,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP034,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP035,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP038,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP041,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP043,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP045,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP051,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP052,PANP,,,,,Thesis Samples - Mikaella,Kyle Lab?,,,,,,,,,,,,,,,,,
NA,PANP054,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP055,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP057,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP061,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP062,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP068,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP070,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP071,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP072,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP073,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP080,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP081,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP082,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP085,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP086,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP087,PANP,,,,,Thesis Samples - Mikaella,Bison Fecal Swabs DNA Box,,,,,,,,,,,,,,,,,
NA,PANP18,PANP,,,,,Thesis Samples - Mikaella,Kyle Lab?,,,,,,,,,,,,,,,,,
NA,PANP19,PANP,,,,,Thesis Samples - Mikaella,Kyle Lab?,,,,,,,,,,,,,,,,,
