Kit #,Sample name,Description,Contact,Date received at LeRDC/Sherbrooke,Condition on Arrival,Sample temperature,Bison Sex,Age,Bison Herd,Area,Bison subspecies,Date of Collection,Location (GPS?),Notes,date of gDNA extraction,DNA/Sample sent to Trent,Metagenomic,5 mL tube,2 mL tube,Ziploc,Comments,,1
1141,WBNP-1141-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Sweetgrass,Wood Buffalo National Park,Wood,3/14/2023,"58.87085, -111.83103",89775,3/18/2024,,,,,,,,
1142,WBNP-1142-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,F,,Hay Camp,Wood Buffalo National Park,Wood,3/15/2023,"59.28058, -112.08657",89776,3/18/2024,,,,,,,,
1143,WBNP-1143-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,M,,Lake One,Wood Buffalo National Park,Wood,3/15/2023,"59.06692, -112.39190",89803,3/18/2024,,,,,,,,
1144,WBNP-1144-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,M,,Hay Camp,Wood Buffalo National Park,Wood,3/15/2023,"59.34319, -111.91698",89805,3/18/2024,,,,,,,,
1145,WBNP-1145-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,M,,Hay Camp,Wood Buffalo National Park,Wood,3/15/2023,"59.16004, -111.54979",89809,3/18/2024,,,,,,,,
1146,WBNP-1146-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,M,,Hay Camp,Wood Buffalo National Park,Wood,3/15/2023,"59.16004, -111.54979",89809,3/18/2024,,,,,,,,
1147,WBNP-1147-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,M,,Hay Camp,Wood Buffalo National Park,Wood,3/15/2023,"59.39322, -111.95084",89811,3/18/2024,,,,,,,,
1148,WBNP-1148-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,M,,Sweetgrass,Wood Buffalo National Park,Wood,3/14/2023,"58.88729, -112.20573",89812,3/18/2024,,,,,,,,
1149,WBNP-1149-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,M,,Hay Camp,Wood Buffalo National Park,Wood,3/15/2023,"59.39420, -111.96182",89815,3/20/2024,,,,,,,,
1150,WBNP-1150-fe,fecal,Robert Bélanger,9/12/2023,Frozen,,M,,Ronald Lake,Wood Buffalo National Park,Wood,3/14/2023,"58.15986, -111.75382",89816,3/20/2024,,,,,,,,
152,WBNP-152-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/24/2022,"59.746995, -112.110395",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
153,WBNP-153-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/21/2022,"59.543087, -112.266079",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
157,WBNP-157-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Nyarling,Wood Buffalo National Park ,Wood,10/20/2022,"60.133298, -113.669597",,2/8/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
159,WBNP-159-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Nyarling,Wood Buffalo National Park ,Wood,10/20/2022,"60.133151, -113.669575",,2/8/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
161,WBNP-161-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Little Buffalo,Wood Buffalo National Park ,Wood,9/7/2022,"60.033282, -113.154994",,2/8/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
162,WBNP-162-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Nyarling,Wood Buffalo National Park ,Wood,10/20/2022,"60.133249, -113,669727",,2/8/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
163,WBNP-163-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/17/2022,"59.562309, -112.263072",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
165,WBNP-165-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/19/2022,"59.584200, -112.274427",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
166,WBNP-166-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/19/2022,"59.585268, -112.275167",,2/16/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
169,WBNP-169-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/19/2022,"59.585302, -112.275533",,2/16/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
170,WBNP-170-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/19/2022,"59.584310, -112.275339",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
172,WBNP-172-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/17/2022,"59.561610, -112.262683",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
175,WBNP-175-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/14/2022,"59.536134, -112.243610",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
176,WBNP-176-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,,10/14/2022,"59.536134, -112.243611",,,,,,,,No sample,,
178,WBNP-178-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/14/2022,"59.561486, -112.211913",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
179,WBNP-179-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/13/2022,"59.541715, -112.249420",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
181,WBNP-181-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Nyarling,Wood Buffalo National Park ,Wood,10/20/2022,"60.132924, -113.669147",,2/16/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
185,WBNP-185-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/17/2022,"59.561797, -112.262804",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
187,WBNP-187-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Little Buffalo,Wood Buffalo National Park ,Wood,9/7/2022,"60.033498, -113.154971",,2/15/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
188,WBNP-188-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Little Buffalo,Wood Buffalo National Park ,Wood,9/7/2022,"60.033324, -113.154940",,2/15/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
189,WBNP-189-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,8/19/2022,"59.291585, -112.477735",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
190,WBNP-190-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,8/19/2022,"59.460007, -112.297671",,2/15/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
191,WBNP-191-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/24/2022,"59.746999, -112.110123",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
194,WBNP-194-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/21/2022,"59.537057, -112.265209",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
195,WBNP-195-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,10/24/2022,"59.74178, -112.110270",,----------------------,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
198,WBNP-198-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Little Buffalo,Wood Buffalo National Park ,Wood,9/7/2022,"60.033249, -113.154770",,2/15/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
200,WBNP-200-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Little Buffalo,Wood Buffalo National Park ,Wood,9/7/2022,"60.033120, -113.154623",,2/15/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
202,WBNP-202-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,8/19/2022,"59.316021, -112.495414",,2/15/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
203,WBNP-203-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,8/19/2022,"59.317072, -112.497067",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
204,WBNP-204-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,8/19/2022,"59.464356, -112.284850",,2/15/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
205,WBNP-205-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Cold,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,8/20/2022,"59.461135, -112.294167",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
208,WBNP-208-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Little Buffalo,Wood Buffalo National Park ,Wood,9/7/2022,"60.033256, -113.154894",,2/15/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
209,WBNP-209-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Little Buffalo,Wood Buffalo National Park ,Wood,9/7/2022,"60.03358, -113.154777",,2/15/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
210,WBNP-210-Fe,Fecal,Keith Hartery,11/17/2022,Frozen ,Warm,Unknown,Unknown,Hay Camp,Wood Buffalo National Park ,Wood,8/19/2022,"59.421242, -112.372619",,12/4/2023,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
736,WBNP-736-fe,Fecal,Keith Hartery,11/29/2023,Frozen,COLD,Unknown,Unknown,Nyarling,Wood Buffalo National Park,Wood,3/17/2023,"60.258828, -113.957087",,4/9/2024,,,,,,,,
738,WBNP-738-fe,Fecal,Keith Hartery,11/29/2023,Frozen,WARM,Unknown,Unknown,Nyarlying,Wood Buffalo National Park,Wood,4/24/2023,"60.246167, -113.913179",,4/9/2024,,,,,,,,
748,WBNP-748-fe,Fecal,Keith Hartery,11/29/2023,Frozen,WARM,Unknown,Unknown,Hay Camp,Wood Buffalo National Park,Wood,4/3/2023,"59.754995, -112.100686",,4/9/2024,,,,,,,,
749,WBNP-749-fe,Fecal,Keith Hartery,11/29/2023,Frozen,WARM,Unknown,Unknown,Hay Camp,Wood Buffalo National Park,Wood,4/3/2023,"59.767651, -112.085314",,4/9/2024,,,,,,,,
750,WBNP-750-fe,Fecal,Keith Hartery,11/29/2023,Frozen,WARM,Unknown,Unknown,Hay Camp,Wood Buffalo National Park,Wood,10/26/2023,"59,633964, -112,233420",,4/9/2024,,,,,,,,
751,WBNP-751-fe,Fecal,Keith Hartery,11/29/2023,Frozen,WARM,Unknown,Unknown,Hay Camp,Wood Buffalo National Park,Wood,10/13/2023,"59.481703, -112.273731",,4/9/2024,,,,,,,,
752,WBNP-752-fe,Fecal,Keith Hartery,11/29/2023,Frozen,COLD,Unknown,Unknown,Nyarling,Wood Buffalo National Park,Wood,10/13/2023,"60.023024, -112.933421",,4/9/2024,,,,,,,,
753,WBNP-753-fe,Fecal,Keith Hartery,11/29/2023,Frozen,WARM,Unknown,Unknown,Nyarling,Wood Buffalo National Park,Wood,10/18/2023,"60.033280, -113.16016",,4/9/2024,,,,,,,,
754,WBNP-754-fe,Fecal,Keith Hartery,11/29/2023,Frozen,WARM,Unknown,Unknown,Nyarling,Wood Buffalo National Park,Wood,10/18/2023,"60.033314, -113.159700",,4/16/2024,,,,,,,,
755,WBNP-755-fe,Fecal,Keith Hartery,11/29/2023,Frozen,WARM,Unknown,Unknown,Hay Camp,Wood Buffalo National Park,Wood,10/20/2023,"59.558466, -112.268220",,4/16/2024,,,,,,,,
757,WBNP-757-fe,Fecal,Keith Hartery,11/29/2023,Frozen,FROZEN,Unknown,Unknown,Nyarling,Wood Buffalo National Park,Wood,3/17/2023,"60.258828, -113.957087",,4/16/2024,,,,,,,,
758,WBNP-758-fe,Fecal,Keith Hartery,11/29/2023,Frozen,COLD,Unknown,Unknown,Delta,Wood Buffalo National Park,Wood,10/20/2023,"58.84297, -111.99662",,4/16/2024,,,,,,,,
759,WBNP-759-fe,Fecal,Keith Hartery,11/29/2023,Frozen,WARM,Unknown,Unknown,Hay Camp,Wood Buffalo National Park,Wood,10/26/2023,"59,634021, -112,233455",,4/16/2024,,,,,,,,
761,WBNP-761-fe,Fecal,Keith Hartery,11/29/2023,Frozen,COLD,Unknown,Unknown,Sweetgrass,Wood Buffalo National Park,Wood,10/21/2023,"58.84298, -111.99660",,4/16/2024,,,,,,,,
763,WBNP-763-fe,Fecal,Keith Hartery,11/29/2023,Frozen,COLD,Unknown,Unknown,Sweetgrass,Wood Buffalo National Park,Wood,10/20/2023,"58.84291, -111.99631",,4/16/2024,,,,,,,,
764,WBNP-764-fe,Fecal,Keith Hartery,11/29/2023,Frozen,COLD,Unknown,Unknown,Sweetgrass,Wood Buffalo National Park,Wood,10/20/2023,"58.84291, -111.99632",,4/16/2024,,,,,,,,
765,WBNP-765-fe,Fecal,Keith Hartery,11/29/2023,Frozen,COLD,Unknown,Unknown,Delta,Wood Buffalo National Park,Wood,10/20/2023,"58.84291, -111.99633",,4/16/2024,,,,,,,,
766,WBNP-766-fe,Fecal,Keith Hartery,11/29/2023,Frozen,COLD,Unknown,Unknown,Hay Camp,Wood Buffalo National Park,Wood,4/11/2023,"59.750157, -112.106329",,4/16/2024,,,,,,,,
767,WBNP-767-fe,Fecal,Keith Hartery,11/29/2023,Frozen,COLD,Unknown,Unknown,Hay Camp,Wood Buffalo National Park,Wood,4/11/2023,"59.750186, -112.106312",,4/16/2024,,,,,,,,
768,WBNP-768-fe,Fecal,Keith Hartery,11/29/2023,Frozen,COLD,Unknown,Unknown,Delta,Wood Buffalo National Park,Wood,10/20/2023,"58.84291, -111.99634",,4/16/2024,,,,,,,,
769,WBNP-769-fe,Fecal,Keith Hartery,11/29/2023,Frozen,WARM,Unknown,Unknown,Hay Camp,Wood Buffalo National Park,Wood,10/20/2023,"59.559064, -112.268340",,4/16/2024,,,,,,,,
770,WBNP-770-fe,Fecal,Keith Hartery,11/29/2023,Frozen,WARM,Unknown,Unknown,Hay Camp,Wood Buffalo National Park,Wood,10/25/2023,"59,604786, -112,264759",,4/16/2024,,,,,,,,
771,WBNP-771-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG1,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
772,WBNP-772-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG2,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
773,WBNP-773-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG3,2/16/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
774,WBNP-774-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG4,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
775,WBNP-775-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG5,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
776,WBNP-776-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG6,2/16/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
777,WBNP-777-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG7,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
778,WBNP-778-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG8,2/16/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
779,WBNP-779-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG9,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
780,WBNP-780-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG10,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
781,WBNP-781-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG11,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
782,WBNP-782-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG12,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
783,WBNP-783-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG13,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
784,WBNP-784-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG14,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
785,WBNP-785-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass,Wood Buffalo National Park ,Wood,6/6/2022,,SG15,2/16/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
786,WBNP-786-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,9/7/2022,,01A,2/16/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
787,WBNP-787-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,9/7/2022,,02A,2/13/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
788,WBNP-788-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,9/7/2022,,03A,2/13/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
789,WBNP-789-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,9/7/2022,,04A,1/22/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
790,WBNP-790-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,9/7/2022,,05A,2/13/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
791,WBNP-791-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,9/7/2022,,06A,2/13/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
792,WBNP-792-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,9/7/2022,,07A,2/13/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
793,WBNP-793-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,9/7/2022,,08A,2/13/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
794,WBNP-794-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,9/7/2022,,09A,2/13/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
795,WBNP-795-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,9/7/2022,,10A,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
796,WBNP-796-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,01A,2/16/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
797,WBNP-797-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,02A,2/21/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
798,WBNP-798-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,03A,2/13/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
799,WBNP-799-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,04A,2/21/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
800,WBNP-800-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,05A,2/21/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
801,WBNP-801-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,06A,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
802,WBNP-802-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,07A,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
803,WBNP-803-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,08A,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
804,WBNP-804-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,09A,2/21/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
805,WBNP-805-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,10A,2/13/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
806,WBNP-806-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,11A,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
807,WBNP-807-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,12A,2/21/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
808,WBNP-808-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,13A,2/21/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
809,WBNP-809-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,14A,2/21/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
810,WBNP-810-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,15A,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
811,WBNP-811-Fe,Fecal,Robert Belanger,11/17/2022,Frozen,,,,Sweetgrass A,Wood Buffalo National Park ,Wood,10/20/2022,,16A,2/19/2024,,,,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
962,WBNP-962-Fe,Fecal,Keith Hartery,3/14/2023,Frozen,Warm,Male,Adult,Nyarling,Wood Buffalo National Park ,Wood,11/8/2022,"60.030923, -112.892050",,2/13/2024,,,1,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
963,WBNP-963-Fe,Fecal,Keith Hartery,3/14/2023,Frozen,Warm,Male,Adult,Nyarling,Wood Buffalo National Park ,Wood,11/15/2022,"59.565244, -111.528362",,2/13/2024,,,2,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
964,WBNP-964-Fe,Fecal,Keith Hartery,3/14/2023,Frozen,Warm,Male,Adult,Nyarling,Wood Buffalo National Park ,Wood,11/15/2022,"60.114645, -113.372177",,2/13/2024,,,3,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
965,WBNP-965-Fe,Fecal,Keith Hartery,3/14/2023,Frozen,Warm,Male,Adult,Nyarling,Wood Buffalo National Park ,Wood,11/22/2022,"60.040402, -112.835127",,2/13/2024,,,4,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
966,WBNP-966-Fe,Fecal,Keith Hartery,3/14/2023,Frozen,Warm,Male,Adult,Nyarling,Wood Buffalo National Park ,Wood,11/22/2022,"60.040402, -112.835127",,2/13/2024,,,5,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
967,WBNP-967-Fe,Fecal ,Keith Hartery,3/14/2023,Frozen,Warm,Male,Adult,Hay Camp,Wood Buffalo National Park ,Wood,11/25/2022,"59.412960, -112.151398",,11/23/2023,,,1,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
968,WBNP-968-Fe,Fecal ,Keith Hartery,3/14/2023,Frozen,Warm,Male,Adult,Nyarling,Wood Buffalo National Park ,Wood,11/29/2022,"60.039987, -112.837657",,2/13/2024,,,6,,,"Swabbed + subsampled, already at Trent (2023-08-04)",,
